Province,Year,Number of projects,Total registered capital (Mill. USD),Income,Poverty Rate,Number of Enterprises,Employment Rate,Trained Labour Rate,Governance Score,Quintile 1,Quintile 2,Quintile 3,Quintile 4,Quintile 5,Ratio,Index of Industrial Output,RuralPop,UrbanPop,UrbanPercent,RuralPercent
Đồng Nai,2016,1368,25871500000,4414000,0.8,13130,54,20.6,34.86,1665,2634,3344,4266,10172,6.109309309,107.5,1977600,973700,0.329922407,0.670077593
Đồng Nai,2017,1472,27349600000,4328000,0.7,18865,56,21.5,36.9,1581,2634,3344,4297,9794,6.194813409,108.6,2014300,990600,0.329661553,0.670338447
Đồng Nai,2018,1560,28658800000,5299000,0.5,21183,53.2,20.1,35.64,1902,3130,3979,5154,12363,6.5,108.7,2048700,1006300,0.329394435,0.670605565
Đồng Nai,2019,1662,31233100000,5860000,0.3,22398,55.8,20,37.2,2038,3157,4690,6145,13290,6.521099117,108.3,1742000,1371800,0.440554949,0.559445051
Đồng Nai,2020,1742,31754600000,5621000,0.3,24270,54.6,22.5,35.98,2630,4041,5074,6355,10025,3.811787072,103.6,1770700,1406700,0.442720463,0.557279537
Đồng Nai,2021,1796,33999300000,5751000,0.3,25055,54.3,21.9,30.42,2076,3674,4760,6025,12120,5.838150289,103.6,1750500,1418600,0.447634975,0.552365025
TP. Hồ Chí Minh,2011,3967,32019600000,2737000,0.1,104299,50.9,29.3,36.77,965,1542,2018,2727,6429,6.662176166,107.2,1269700,6248200,0.831109751,0.168890249
TP. Hồ Chí Minh,2013,4809,34852300000,3653000,0,120724,51,31.6,37.33,1302,2076,2752,3664,8447,6.487711214,106.3,1340800,6479200,0.8285422,0.171457801
TP. Hồ Chí Minh,2014,5271,38275800000,4839000,0,136267,50.9,32.5,37.1,1837,2703,3386,4377,11919,6.488296135,106.8,1427200,6554700,0.821195455,0.178804545
TP. Hồ Chí Minh,2015,5886,42366800000,4840000,5,148886,52,34,34.22,1838,2702,3383,4371,11895,6.471708379,107.2,1580300,6727600,0.809783459,0.190216541
TP. Hồ Chí Minh,2016,6762,45293400000,5481000,0.2,171250,50.9,34.8,34.91,2107,2996,3772,4916,13635,6.471286189,107.3,1650200,6829000,0.805382583,0.194617417
TP. Hồ Chí Minh,2017,7333,43879300000,5109000,0.1,204918,51.5,36.6,35.88,1829,2996,3775,4978,11985,6.552761072,107.9,1721200,6928500,0.80101044,0.19898956
TP. Hồ Chí Minh,2018,8123,45194300000,6177000,0.1,228267,51.7,36.8,34.74,1928,4076,5057,6595,13262,6.878630705,108,1798200,7045100,0.796659618,0.203340382
TP. Hồ Chí Minh,2019,9202,47379100000,6758000,0.1,239623,51.9,37.1,36.63,2092,4162,5755,7394,14394,6.880497132,107.3,1877000,7161500,0.792332799,0.207667201
TP. Hồ Chí Minh,2020,9942,48222500000,6537000,0,254699,49.7,38.7,35.7,3406,4721,5653,7051,11868,3.484439225,95.4,1936700,7290900,0.790118774,0.209881226
TP. Hồ Chí Minh,2021,10394,52921600000,6008000,0,268465,47.3,35.6,30.29,2816,3741,4689,7067,11763,4.177201705,85.7,1927200,7239600,0.789763058,0.210236942
